,case,Temp,Pressure,f11,f12,f13,f21,f22,f23,f31,f32,f33,p11,p12,p13,p21,p22,p23,p31,p32,p33
10,11.0,299.32021000000003,111.83693000000001,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.000100011294464,-0.008216647336473322,-0.0040040841073716565,0.0023587303169885577,-0.0040040841073716565,-0.00011829134042779663,0.005499418869425385,0.0023589662166608513,0.005499968873425316,-0.025661528462845678
11,11.0,299.36364,114.80216000000001,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001100157148382,-0.0016269443046004258,0.004454333652229117,0.005717252847473925,0.004454333652229117,-0.015755887614373052,-0.00027764931305685375,0.00571788183513285,-0.000277679858844504,-0.01751606967745148
12,11.0,299.35132999999996,317.42522,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001199872259348,-0.045209232430358244,-0.00126636660450194,-0.01203372093113579,-0.00126636660450194,-0.03904362681752484,-0.018272965475651284,-0.01203516482392799,-0.01827515799808831,-0.012246590591644388
13,11.0,299.18462,386.51021000000003,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.000129991646309,-0.06013025132929712,-0.014631990988758056,-0.0066489824173034725,-0.014631990988758056,-0.0313927313379974,-0.015537418186923783,-0.006649846729474177,-0.015539437921493293,-0.025978364676364975
14,11.0,299.61588,349.95892000000003,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001399960666832,-0.04038784442332657,0.004163151145417126,-0.001087913257468679,0.004163151145417126,-0.056186615819334346,-0.004933057558454875,-0.0010880655610456171,-0.004933748167109781,-0.00981783162181954
15,11.0,300.34821,450.85937,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001500004870574,-0.02106001650535094,-0.006266676034507442,-0.005429997254724004,-0.006266676034507442,-0.06102922620590741,0.02007071129332498,-0.0054308117569569336,0.02007372190979457,-0.05497306040316865
16,11.0,300.1767,410.2877,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001600049074315,-0.04922610359804643,0.003829979397165174,0.009856952701555493,0.003829979397165174,-0.03759280517430859,0.023602246582360376,0.00985852986236006,0.023606023057639963,-0.037912197386142564
17,11.0,300.4685,293.13277,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001700093278054,-0.021117367843274577,0.0014360762385614914,0.009054047749439941,0.0014360762385614914,-0.03817668649567437,-0.003865973784616906,0.009055587022011742,-0.003866631036221342,-0.02982106603136007
18,11.0,299.82499,214.74462000000003,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001800137481798,-0.030814886634512862,0.0012550754453408363,0.002946684798190148,0.0012550754453408363,-0.022084150454585397,0.0014266784323021986,0.002947215241965374,0.0014269352540342446,-0.012387486057799688
19,11.0,299.58979,179.46098,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001900181685541,-0.03777365111288444,-0.00038687124726876856,0.027264924805338576,-0.00038687124726876856,-1.4502189808000425e-05,-0.003901788831926576,0.027270105636415853,-0.003902530242694504,-0.01677068338713759
20,11.0,299.47152,234.85204,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0001999896796505,-0.014671046907187206,-0.004703458588522461,0.005451776964298495,-0.004703458588522461,-0.024277253282060186,-0.003336917606553127,0.005452867263427112,-0.0033375849556362817,-0.03244864341593177
21,11.0,299.36031,343.48292999999995,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0002099941000246,-0.029493986150707894,-0.011336404192524636,0.019882129237713382,-0.011336404192524636,-0.022922977642272364,-0.002233896688768438,0.01988630436754923,-0.0022343657938931442,-0.05200427611367245
22,11.0,299.17978,438.30489000000006,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0002199985203988,-0.05702684848145751,-0.0049547946674572355,-0.01106276895656029,-0.0049547946674572355,-0.043839245749271026,-0.007590727356421463,-0.011065202749362247,-0.0075923973052086265,-0.03238983438012777
23,11.0,299.70803,462.72388,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0002300029407731,-0.062303091227714165,0.009429646280368232,0.008161431355995561,0.009429646280368232,-0.044527298098236294,0.015481527311407787,0.008163308509208359,0.01548508810821707,-0.033850680619052075
24,11.0,301.33391,368.76235,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.000240007361147,-0.06098781193561845,-0.009498231966441971,-0.015955612847696386,-0.009498231966441971,-0.03760033036289974,0.007737018987309322,-0.015959442312231446,0.007738875928819611,-0.013530061321063089
25,11.0,301.0074,272.24676,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0002500117815214,-0.04635906553971479,-0.000120897975559524,0.007970117476789352,-0.000120897975559524,-0.03172987434356581,-0.0015470029962523087,0.007972110100058659,-0.0015473897652274204,-0.0046867937077755255
26,11.0,300.10155,137.81003,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0002600162018955,-0.008702151289903126,-0.013747048623070923,0.0013851330503769886,-0.013747048623070923,-0.012089115774397006,-0.004297699387224906,0.0013854932074118676,-0.004298816858696461,-0.02110494478964588
27,11.0,299.73233,30.805187,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0002699877129921,0.007706220666077192,0.0131643071929758,0.006555199027797774,0.0131643071929758,-0.00469266899552819,0.007640659814724413,0.006556968850991498,0.007642722698993541,-0.012376745606739688
28,11.0,299.72107,161.29891999999998,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0002799921333663,-0.016974341813103786,-0.0022724508269153882,0.007625136417892373,-0.0022724508269153882,-0.023034885765959245,0.0029643130194549174,0.007627271396105227,0.0029651430037811997,-0.009032815498894481
29,11.0,299.95984,381.25284,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0002899965537404,-0.03285405921729287,-0.006796342802850074,-0.003890688271781036,-0.006796342802850074,-0.03448180976984248,-0.006480200484545993,-0.0038918165579715307,-0.006482079720354059,-0.04857499701147895
